symbol,dll,export,lib
AETraceOutputDebugString,MMDevAPI.DLL,13,mmdevapi.lib
AbortSystemShutdownA,ADVAPI32.dll,AbortSystemShutdownA,AdvAPI32.Lib
AbortSystemShutdownW,ADVAPI32.dll,AbortSystemShutdownW,AdvAPI32.Lib
AcceptEx,MSWSOCK.dll,AcceptEx,MsWSock.Lib
AccessCheck,ADVAPI32.dll,AccessCheck,AdvAPI32.Lib
AccessCheckAndAuditAlarmA,ADVAPI32.dll,AccessCheckAndAuditAlarmA,AdvAPI32.Lib
AccessCheckAndAuditAlarmW,ADVAPI32.dll,AccessCheckAndAuditAlarmW,AdvAPI32.Lib
AccessCheckByType,ADVAPI32.dll,AccessCheckByType,AdvAPI32.Lib
AccessCheckByTypeAndAuditAlarmA,ADVAPI32.dll,AccessCheckByTypeAndAuditAlarmA,AdvAPI32.Lib
AccessCheckByTypeAndAuditAlarmW,ADVAPI32.dll,AccessCheckByTypeAndAuditAlarmW,AdvAPI32.Lib
AccessCheckByTypeResultList,ADVAPI32.dll,AccessCheckByTypeResultList,AdvAPI32.Lib
AccessCheckByTypeResultListAndAuditAlarmA,ADVAPI32.dll,AccessCheckByTypeResultListAndAuditAlarmA,AdvAPI32.Lib
AccessCheckByTypeResultListAndAuditAlarmByHandleA,ADVAPI32.dll,AccessCheckByTypeResultListAndAuditAlarmByHandleA,AdvAPI32.Lib
AccessCheckByTypeResultListAndAuditAlarmByHandleW,ADVAPI32.dll,AccessCheckByTypeResultListAndAuditAlarmByHandleW,AdvAPI32.Lib
AccessCheckByTypeResultListAndAuditAlarmW,ADVAPI32.dll,AccessCheckByTypeResultListAndAuditAlarmW,AdvAPI32.Lib
AcquireSRWLockExclusive,KERNEL32.dll,AcquireSRWLockExclusive,kernel32.Lib
AcquireSRWLockShared,KERNEL32.dll,AcquireSRWLockShared,kernel32.Lib
ActivateActCtx,KERNEL32.dll,ActivateActCtx,kernel32.Lib
ActivateAudioInterfaceAsync,MMDevAPI.DLL,17,mmdevapi.lib
ActivateKeyboardLayout,USER32.dll,ActivateKeyboardLayout,User32.Lib
AddAccessAllowedAce,ADVAPI32.dll,AddAccessAllowedAce,AdvAPI32.Lib
AddAccessAllowedAceEx,ADVAPI32.dll,AddAccessAllowedAceEx,AdvAPI32.Lib
AddAccessAllowedObjectAce,ADVAPI32.dll,AddAccessAllowedObjectAce,AdvAPI32.Lib
AddAccessDeniedAce,ADVAPI32.dll,AddAccessDeniedAce,AdvAPI32.Lib
AddAccessDeniedAceEx,ADVAPI32.dll,AddAccessDeniedAceEx,AdvAPI32.Lib
AddAccessDeniedObjectAce,ADVAPI32.dll,AddAccessDeniedObjectAce,AdvAPI32.Lib
AddAce,ADVAPI32.dll,AddAce,AdvAPI32.Lib
AddAtomA,KERNEL32.dll,AddAtomA,kernel32.Lib
AddAtomW,KERNEL32.dll,AddAtomW,kernel32.Lib
AddAuditAccessAce,ADVAPI32.dll,AddAuditAccessAce,AdvAPI32.Lib
AddAuditAccessAceEx,ADVAPI32.dll,AddAuditAccessAceEx,AdvAPI32.Lib
AddAuditAccessObjectAce,ADVAPI32.dll,AddAuditAccessObjectAce,AdvAPI32.Lib
AddClipboardFormatListener,USER32.dll,AddClipboardFormatListener,User32.Lib
AddConditionalAce,ADVAPI32.dll,AddConditionalAce,AdvAPI32.Lib
AddConsoleAliasA,KERNEL32.dll,AddConsoleAliasA,kernel32.Lib
AddConsoleAliasW,KERNEL32.dll,AddConsoleAliasW,kernel32.Lib
AddDllDirectory,KERNEL32.dll,AddDllDirectory,kernel32.Lib
AddIntegrityLabelToBoundaryDescriptor,KERNEL32.dll,AddIntegrityLabelToBoundaryDescriptor,kernel32.Lib
