symbol,dll,export,lib
@DnsGetDomainName@4,DNSAPI.dll,DnsGetDomainName,DnsAPI.Lib
@DnsGetDomainName@4,DNSAPI.dll,DnsGetDomainName,mincore.lib
@DnsIsAMailboxType@4,DNSAPI.dll,DnsIsAMailboxType,DnsAPI.Lib
@DnsIsAMailboxType@4,DNSAPI.dll,DnsIsAMailboxType,mincore.lib
@DnsIsNSECType@4,DNSAPI.dll,DnsIsNSECType,DnsAPI.Lib
@DnsIsNSECType@4,DNSAPI.dll,DnsIsNSECType,mincore.lib
@DnsIsStatusRcode@4,DNSAPI.dll,DnsIsStatusRcode,DnsAPI.Lib
@DnsIsStatusRcode@4,DNSAPI.dll,DnsIsStatusRcode,mincore.lib
@DnsMapRcodeToStatus@4,DNSAPI.dll,DnsMapRcodeToStatus,DnsAPI.Lib
@DnsMapRcodeToStatus@4,DNSAPI.dll,DnsMapRcodeToStatus,mincore.lib
@DnsStatusString@4,DNSAPI.dll,DnsStatusString,DnsAPI.Lib
@DnsStatusString@4,DNSAPI.dll,DnsStatusString,mincore.lib
@DnsUnicodeToUtf8@16,DNSAPI.dll,DnsUnicodeToUtf8,DnsAPI.Lib
@DnsUnicodeToUtf8@16,DNSAPI.dll,DnsUnicodeToUtf8,mincore.lib
@DnsUtf8ToUnicode@16,DNSAPI.dll,DnsUtf8ToUnicode,DnsAPI.Lib
@DnsUtf8ToUnicode@16,DNSAPI.dll,DnsUtf8ToUnicode,mincore.lib
@Dns_ReadPacketName@28,DNSAPI.dll,Dns_ReadPacketName,DnsAPI.Lib
@Dns_ReadPacketName@28,DNSAPI.dll,Dns_ReadPacketName,mincore.lib
@Dns_ReadPacketNameAllocate@28,DNSAPI.dll,Dns_ReadPacketNameAllocate,DnsAPI.Lib
@Dns_ReadPacketNameAllocate@28,DNSAPI.dll,Dns_ReadPacketNameAllocate,mincore.lib
@Dns_SkipPacketName@8,DNSAPI.dll,Dns_SkipPacketName,DnsAPI.Lib
@Dns_SkipPacketName@8,DNSAPI.dll,Dns_SkipPacketName,mincore.lib
@Dns_WriteDottedNameToPacket@24,DNSAPI.dll,Dns_WriteDottedNameToPacket,DnsAPI.Lib
@Dns_WriteDottedNameToPacket@24,DNSAPI.dll,Dns_WriteDottedNameToPacket,mincore.lib
@DoLogUnhandledError@12,NTDSA.dll,DoLogUnhandledError,ntdsa.lib
@InterlockedPushListSList@16,KERNEL32.dll,InterlockedPushListSList,kernel32.Lib
@RtlActivateActivationContextUnsafeFast@8,ntdll.dll,RtlActivateActivationContextUnsafeFast,ntdll.lib
@RtlDeactivateActivationContextUnsafeFast@4,ntdll.dll,RtlDeactivateActivationContextUnsafeFast,ntdll.lib
@RtlInterlockedPushListSList@16,ntdll.dll,RtlInterlockedPushListSList,ntdll.lib
@RtlUlongByteSwap@4,ntdll.dll,RtlUlongByteSwap,ntdll.lib
@RtlUlonglongByteSwap@8,ntdll.dll,RtlUlonglongByteSwap,ntdll.lib
@RtlUshortByteSwap@4,ntdll.dll,RtlUshortByteSwap,ntdll.lib
ConvertAtJobsToTasks,mstask.dll,ConvertAtJobsToTasks,MSTask.Lib
EfsUtilGetCurrentKey,FeClient.dll,EfsUtilGetCurrentKey,feclient.lib
GetNetScheduleAccountInformation,mstask.dll,GetNetScheduleAccountInformation,MSTask.Lib
NetrJobAdd,mstask.dll,NetrJobAdd,MSTask.Lib
NetrJobDel,mstask.dll,NetrJobDel,MSTask.Lib
NetrJobEnum,mstask.dll,NetrJobEnum,MSTask.Lib
NetrJobGetInfo,mstask.dll,NetrJobGetInfo,MSTask.Lib
SAGetAccountInformation,mstask.dll,SAGetAccountInformation,MSTask.Lib
SAGetNSAccountInformation,mstask.dll,SAGetNSAccountInformation,MSTask.Lib
SASetAccountInformation,mstask.dll,SASetAccountInformation,MSTask.Lib
SASetNSAccountInformation,mstask.dll,SASetNSAccountInformation,MSTask.Lib
